keys,en
"tab.summary","Summary"
"tab.call_graph","Call Graph"
"tab.signal_flow","Signal Flow"
"tab.def_use","Def-Use"
"tab.project","Project"
"btn.rebuild","Rebuild Project"
"btn.relayout","Re-layout"
"btn.export_json","Export JSON"
"dialog.export_title","Export Code Graph"
"label.min_degree","Min degree:"
"label.scope","Scope:"
"label.graph","Graph:"
"scope.current_file","Current File"
"scope.project","Project"
"graph.call","Call"
"graph.signal","Signal"
"msg.scan_on","Project scan: ON — analyzing..."
"msg.scan_off","Project scan is OFF"
"msg.scan_off_hint","Click \"Scan Settings\" to browse and add directories."
"msg.no_script","No script open"
"msg.empty_script","Empty script"
"msg.parse_error","Parse error: %s"
"msg.export_ok","Export OK: %s"
"msg.export_fail","Export failed: %s"
"msg.export_no_data","No data to export"
"legend.emit","■ emit"
"legend.connect","■ connect"
"legend.emit_connect","■ emit+connect"
"legend.entry","▶ Entry function"
"legend.hub","● Hub (degree≥5)"
"legend.high_coupling","High coupling file"
"node.refs","ref"
"node.functions","functions"
"node.signals","signals"
